step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy,train_mean_reward,full_validation_mean_reward
367,0.0,1.0,,,,
368,0.0,1.0,,,,
369,0.0,1.0,,,,
370,0.0,1.0,0.0,1.0,,
371,0.0,1.0,,,,
372,0.0,1.0,,,,
373,1e-05,1.0,,,,
374,0.0,1.0,,,,
375,0.0,1.0,,,,
376,0.0,1.0,,,,
377,0.0,1.0,,,,
378,0.0,1.0,,,,
379,0.0,1.0,,,,
380,0.0,1.0,0.00031,1.0,,
381,1e-05,1.0,,,,
382,1e-05,1.0,,,,
383,0.0,1.0,,,,
384,0.0,1.0,,,,
385,0.23107,0.66667,,,,
386,2e-05,1.0,,,,
387,0.0,1.0,,,,
388,0.0,1.0,,,,
389,0.0,1.0,,,,
390,5e-05,1.0,6e-05,1.0,,
391,0.0,1.0,,,,
392,0.0,1.0,,,,
393,1e-05,1.0,,,,
394,0.0,1.0,,,,
395,0.0,1.0,,,,
396,1e-05,1.0,,,,
397,0.0,1.0,,,,
398,0.00137,1.0,,,,
399,0.0,1.0,,,,
400,0.0,1.0,0.0,1.0,,
401,1e-05,1.0,,,,
402,1e-05,1.0,,,,
403,5e-05,1.0,,,,
404,0.0,1.0,,,,
405,6e-05,1.0,,,,
406,1.62755,0.66667,,,,
407,3e-05,1.0,,,,
408,0.0,1.0,,,,
409,1e-05,1.0,,,,
410,0.0001,1.0,0.0,1.0,,
411,0.0,1.0,,,,
412,3e-05,1.0,,,,
413,2.00083,0.66667,,,,
414,0.29944,0.66667,,,,
415,1e-05,1.0,,,,
416,0.0,1.0,,,,
417,0.17443,1.0,,,,
418,0.00043,1.0,,,,
419,0.0,1.0,,,,
420,2e-05,1.0,1e-05,1.0,,
421,0.0,1.0,,,,
422,0.0,1.0,,,,
423,8e-05,1.0,,,,
424,1e-05,1.0,,,,
425,1e-05,1.0,,,,
426,0.00087,1.0,,,,
427,0.0,1.0,,,,
428,0.0,1.0,,,,
429,0.0,1.0,,,,
430,0.0,1.0,0.00076,1.0,,
431,0.00686,1.0,,,,
432,0.00019,1.0,,,,
433,0.0,1.0,,,,
434,0.0,1.0,,,,
435,0.0,1.0,,,,
436,1e-05,1.0,,,,
437,0.0,1.0,,,,
438,0.0,1.0,,,,
439,3e-05,1.0,,,,
440,0.0,1.0,0.0,1.0,,
441,0.00536,1.0,,,,
442,0.0,1.0,,,,
443,1e-05,1.0,,,,
444,0.0,1.0,,,,
445,0.0,1.0,,,,
446,0.0,1.0,,,,
447,1e-05,1.0,,,,
448,0.0,1.0,,,,
449,1e-05,1.0,,,,
450,0.00016,1.0,0.0,1.0,,
451,0.11633,1.0,,,,
452,0.0,1.0,,,,
453,0.0,1.0,,,,
454,0.0,1.0,,,,
455,0.0,1.0,,,,
456,0.0,1.0,,,,
457,0.0,1.0,,,,
458,3e-05,1.0,,,,
459,1e-05,1.0,,,,
460,1e-05,1.0,1e-05,1.0,,
461,0.0263,1.0,,,,
462,0.0,1.0,,,,
463,0.0,1.0,,,,
464,0.0,1.0,,,,
465,0.0,1.0,,,,
466,0.00055,1.0,,,,
467,0.0,1.0,,,,
468,0.0,1.0,,,,
469,0.0,1.0,,,,
470,0.0,1.0,5e-05,1.0,,
471,4e-05,1.0,,,,
472,0.0,1.0,,,,
473,0.12898,1.0,,,,
474,0.0,1.0,0.00011,1.0,,
